"","x"
"334",0.523
"335",0.522
"336",0.5095
"337",0.478
"338",0.4775
"339",0.732
"340",0.7325
"341",0.5775
"342",0.5905
"343",0.668
"344",0.663
"345",0.6505
"346",0.65
"347",0.651
"348",0.623
"349",0.6255
"350",0.6145
"351",0.584
"352",0.501
"353",0.5685
"354",0.5255
"355",0.5605
"356",0.6285
"357",0.71
"358",0.562
"359",0.472
"360",0.589
"361",0.5875
"362",0.583
"363",0.589
"364",0.5695
"365",0.632
"366",0.6625
"367",0.667
"368",0.667
"369",0.6615
"370",0.662
"371",0.66
"372",0.6705
"373",0.673
"374",0.664
"375",0.655
"376",0.654
"377",0.6485
"378",0.668
"379",0.5295
"380",0.361
"381",0.3425
"382",0.381
"383",0.496
"384",0.4905
"385",0.4565
"386",0.455
"387",0.537
"388",0.52
"389",0.4195
"390",0.5605
"391",0.472
"392",0.4425
"393",0.4245
"394",0.447
"395",0.4345
"396",0.587
"397",0.556
"398",0.533
"399",0.5515
"400",0.603
"401",0.4005
"402",0.403
"403",0.4245
"404",0.4855
"405",0.522
"406",0.5765
"407",0.572
"408",0.5445
"409",0.6125
"410",0.584
"411",0.5115
"412",0.4165
"413",0.397
"414",0.428
"415",0.465
"416",0.455
"417",0.4425
"418",0.4215
"419",0.406
"420",0.371
"421",0.541
"422",0.5565
"423",0.5805
"424",0.3725
"425",0.374
"426",0.3735
"427",0.3735
"428",0.3625
"429",0.366
"430",0.386
"431",0.5425
"432",0.75
"433",0.7485
"434",0.749
"435",0.672
"436",0.637
"437",0.5455
"438",0.545
"439",0.553
"440",0.565
"441",0.617
"442",0.38
"443",0.389
"444",0.374
"445",0.6145
"446",0.629
"447",0.5625
"448",0.5625
"449",0.5585
"450",0.603
"451",0.519
"452",0.4555
"453",0.448
"454",0.4585
"455",0.467
"456",0.42
"457",0.4325
"458",0.656
"459",0.6595
"460",0.693
"461",0.705
"462",0.7115
"463",0.5305
"464",0.5085
"465",0.511
"466",0.512
"467",0.515
"468",0.53
"469",0.527
"470",0.528
"471",0.534
"472",0.5355
"473",0.535
"474",0.5345
"475",0.535
"476",0.535
"477",0.535
"478",0.558
"479",0.5565
"480",0.556
"481",0.556
"482",0.582
"483",0.581
"484",0.581
"485",0.585
"486",0.6045
"487",0.6035
"488",0.6045
"489",0.605
"490",0.6045
"491",0.605
"492",0.599
"493",0.5975
"494",0.598
"495",0.598
"496",0.598
"497",0.5975
"498",0.601
"499",0.6015
"500",0.601
"501",0.602
"502",0.6025
"503",0.5935
"504",0.5935
"505",0.5935
"506",0.596
"507",0.596
"508",0.5965
"509",0.6055
"510",0.604
"511",0.6035
"512",0.5965
"513",0.596
"514",0.566
"515",0.5665
"516",0.5295
"517",0.5285
"518",0.527
"519",0.524
"520",0.521
"521",0.7575
"522",0.5745
"523",0.5485
"524",0.5405
"525",0.668
"526",0.5515
"527",0.528
"528",0.552
"529",0.555
"530",0.5355
"531",0.543
"532",0.5425
"533",0.585
"534",0.585
"535",0.5905
"536",0.6275
"537",0.633
"538",0.398
"539",0.403
"540",0.525
"541",0.545
"542",0.542
"543",0.5355
"544",0.5365
"545",0.5395
"546",0.5245
"547",0.525
"548",0.5045
"549",0.52
"550",0.52
"551",0.481
"552",0.4735
"553",0.4655
"554",0.466
"555",0.4525
"556",0.545
"557",0.5465
"558",0.562
"559",0.5695
"560",0.6065
"561",0.6065
"562",0.609
"563",0.615
"564",0.608
"565",0.608
"566",0.598
"567",0.5875
"568",0.547
"569",0.5405
"570",0.54
"571",0.52
"572",0.5315
"573",0.5545
"574",0.5265
"575",0.533
"576",0.5285
"577",0.5265
"578",0.511
"579",0.4915
"580",0.491
"581",0.4945
"582",0.495
"583",0.4965
"584",0.533
"585",0.5315
"586",0.525
"587",0.5235
"588",0.52
"589",0.5165
"590",0.518
"591",0.52
"592",0.5095
"593",0.5095
"594",0.5115
"595",0.5095
"596",0.508
"597",0.5245
"598",0.529
"599",0.529
"600",0.5285
"601",0.5335
"602",0.545
"603",0.5445
"604",0.548
"605",0.559
"606",0.572
"607",0.538
"608",0.498
"609",0.525
"610",0.557
"611",0.5035
"612",0.5655
"613",0.402
"614",0.41
"615",0.685
"616",0.7215
"617",0.771
"618",0.734
"619",0.4635
"620",0.741
"621",0.372
"622",0.363
"623",0.4865
"624",0.415
"625",0.607
"626",0.608
"627",0.4015
"628",0.4715
"629",0.4715
"630",0.511
"631",0.5285
"632",0.525
"633",0.531
"634",0.5035
"635",0.5095
"636",0.511
"637",0.507
"638",0.4615
"639",0.457
"640",0.46
"641",0.4715
"642",0.4805
"643",0.48
"644",0.487
"645",0.7445
"646",0.6765
"647",0.674
"648",0.516
"649",0.564
"650",0.6085
"651",0.5735
"652",0.488
"653",0.436
"654",0.602
"655",0.6435
"656",0.6495
"657",0.6635
"658",0.678
"659",0.7025
"660",0.4025
"661",0.3175
"662",0.31
"663",0.3095
"664",0.308
"665",0.2975
"666",0.297
"667",0.29
"668",0.2985
"669",0.2995
"670",0.3015
"671",0.301
"672",0.2775
"673",0.321
"674",0.3205
"675",0.2995
"676",0.296
"677",0.294
"678",0.311
"679",0.374
"680",0.2915
"681",0.3645
"682",0.686
"683",0.411
"684",0.427
"685",0.4105
"686",0.46
"687",0.4095
"688",0.3745
"689",0.323
"690",0.335
"691",0.382
"692",0.3835
"693",0.6895
"694",0.357
"695",0.352
"696",0.3555
"697",0.381
"698",0.3825
"699",0.383
"700",0.3615
"701",0.3725
"702",0.3765
"703",0.375
"704",0.376
"705",0.376
"706",0.3705
"707",0.362
"708",0.3695
"709",0.359
"710",0.3855
"711",0.3895
"712",0.414
"713",0.447
"714",0.4425
"715",0.481
"716",0.4825
"717",0.278
"718",0.357
"719",0.353
"720",0.3435
"721",0.356
"722",0.3905
"723",0.3245
"724",0.3605
"725",0.3665
"726",0.371
"727",0.413
"728",0.4035
"729",0.403
"730",0.4075
"731",0.375
"732",0.3765
"733",0.345
"734",0.3505
"735",0.35
"736",0.3465
"737",0.3415
"738",0.33
"739",0.3875
"740",0.362
"741",0.373
"742",0.3445
"743",0.3445
"744",0.3585
"745",0.363
"746",0.367
"747",0.362
"748",0.3545
"749",0.59
"750",0.314
"751",0.365
"752",0.309
"753",0.3425
"754",0.3975
"755",0.3035
"756",0.3
"757",0.2995
"758",0.2935
"759",0.384
"760",0.383
"761",0.366
"762",0.357
"763",0.3275
"764",0.321
"765",0.3225
"766",0.3
"767",0.299
"768",0.3705
"769",0.3715
"770",0.371
"771",0.375
"772",0.375
"773",0.3785
"774",0.3795
"775",0.3895
"776",0.396
"777",0.3935
"778",0.394
"779",0.394
"780",0.399
"781",0.3995
"782",0.3885
"783",0.3925
"784",0.3865
"785",0.3935
"786",0.3865
"787",0.3875
"788",0.3845
"789",0.3825
"790",0.38
"791",0.381
"792",0.381
"793",0.38
"794",0.366
"795",0.367
"796",0.3585
"797",0.3165
"798",0.495
"799",0.4845
"800",0.4735
"801",0.475
"802",0.4775
"803",0.476
"804",0.488
"805",0.482
"806",0.4815
"807",0.574
"808",0.575
"809",0.575
"810",0.5745
"811",0.573
"812",0.5745
"813",0.5735
"814",0.568
"815",0.382
"816",0.388
"817",0.434
"818",0.4345
"819",0.4365
"820",0.4365
"821",0.438
"822",0.4385
"823",0.442
"824",0.4405
"825",0.44
"826",0.4355
"827",0.478
"828",0.521
"829",0.5845
"830",0.584
"831",0.48
"832",0.488
"833",0.4975
"834",0.4955
"835",0.497
"836",0.4995
"837",0.4995
"838",0.4995
"839",0.5
"840",0.488
"841",0.491
"842",0.4855
"843",0.484
"844",0.4745
"845",0.472
"846",0.4365
"847",0.464
"848",0.4655
"849",0.467
"850",0.4685
"851",0.4685
"852",0.468
"853",0.4685
"854",0.4725
"855",0.4715
"856",0.474
"857",0.4725
"858",0.467
"859",0.393
"860",0.3965
"861",0.4575
"862",0.4635
"863",0.48
"864",0.5305
"865",0.541
"866",0.503
"867",0.4975
"868",0.4905
"869",0.482
"870",0.431
"871",0.435
"872",0.4365
"873",0.441
"874",0.4425
"875",0.446
"876",0.4465
"877",0.454
"878",0.4465
"879",0.487
"880",0.4875
"881",0.486
"882",0.4575
"883",0.448
"884",0.449
"885",0.457
"886",0.471
"887",0.4715
"888",0.472
"889",0.516
"890",0.437
"891",0.4345
"892",0.4175
"893",0.5385
"894",0.544
"895",0.551
"896",0.4575
"897",0.4595
"898",0.459
"899",0.4725
"900",0.4735
"901",0.48
"902",0.4645
"903",0.416
"904",0.416
"905",0.49
"906",0.4925
"907",0.488
"908",0.47
"909",0.4695
"910",0.471
"911",0.483
"912",0.482
"913",0.484
"914",0.4965
"915",0.496
"916",0.458
"917",0.4605
"918",0.467
"919",0.497
"920",0.482
"921",0.4805
"922",0.4785
"923",0.481
"924",0.484
"925",0.449
"926",0.4535
"927",0.4465
"928",0.442
"929",0.4435
"930",0.459
"931",0.4595
"932",0.4605
"933",0.46
"934",0.459
"935",0.4545
"936",0.4375
"937",0.4345
"938",0.438
"939",0.4425
"940",0.46
"941",0.4705
"942",0.4735
"943",0.4735
"944",0.4825
"945",0.4845
"946",0.484
"947",0.4825
"948",0.485
"949",0.486
"950",0.3645
"951",0.365
"952",0.489
"953",0.489
"954",0.4905
"955",0.5035
"956",0.5035
"957",0.505
"958",0.5095
"959",0.5055
"960",0.4655
"961",0.466
"962",0.468
"963",0.468
"964",0.4845
"965",0.5075
"966",0.517
"967",0.5175
"968",0.525
"969",0.4485
"970",0.4485
"971",0.5215
"972",0.3375
"973",0.346
"974",0.341
"975",0.4045
"976",0.37
"977",0.307
"978",0.346
"979",0.3405
"980",0.3135
"981",0.343
"982",0.2995
"983",0.3615
"984",0.3515
"985",0.3505
"986",0.335
"987",0.315
"988",0.311
"989",0.312
"990",0.364
"991",0.365
"992",0.3605
"993",0.3195
"994",0.3165
"995",0.313
"996",0.315
"997",0.33
"998",0.3095
"999",0.31
"1000",0.328
"1001",0.357
"1002",0.3475
"1003",0.318
"1004",0.3185
"1005",0.356
"1006",0.3575
"1007",0.358
"1008",0.3485
"1009",0.355
"1010",0.3565
"1011",0.3885
"1012",0.391
"1013",0.391
"1014",0.3095
"1015",0.3155
"1016",0.33
"1017",0.3255
"1018",0.3215
"1019",0.3585
"1020",0.3575
"1021",0.355
"1022",0.312
"1023",0.3105
"1024",0.296
"1025",0.2965
"1026",0.296
"1027",0.3555
"1028",0.356
"1029",0.3745
"1030",0.343
"1031",0.3445
"1032",0.3435
"1033",0.3265
"1034",0.3125
"1035",0.311
"1036",0.311
"1037",0.3115
"1038",0.3185
"1039",0.35
"1040",0.3495
"1041",0.3525
"1042",0.362
"1043",0.355
"1044",0.3405
"1045",0.4015
"1046",0.3985
"1047",0.402
"1048",0.397
"1049",0.287
"1050",0.2955
"1051",0.2925
"1052",0.2985
"1053",0.288
"1054",0.3945
"1055",0.3825
"1056",0.3445
"1057",0.3695
"1058",0.3755
"1059",0.384
"1060",0.377
"1061",0.3815
"1062",0.3415
"1063",0.337
"1064",0.3225
"1065",0.321
"1066",0.4015
"1067",0.3405
"1068",0.3485
"1069",0.3285
"1070",0.2835
"1071",0.3005
"1072",0.3015
"1073",0.348
"1074",0.305
"1075",0.314
"1076",0.3555
"1077",0.4135
"1078",0.434
"1079",0.331
"1080",0.342
"1081",0.366
"1082",0.603
"1083",0.6265
"1084",0.5845
"1085",0.3935
"1086",0.393
"1087",0.401
"1088",0.633
"1089",0.625
"1090",0.5905
"1091",0.451
"1092",0.5915
"1093",0.4615
"1094",0.4965
"1095",0.3315
"1096",0.333
"1097",0.3615
"1098",0.6045
"1099",0.587
"1100",0.44
"1101",0.433
"1102",0.399
"1103",0.319
"1104",0.3725
"1105",0.3505
"1106",0.3815
"1107",0.3825
"1108",0.3885
"1109",0.431
"1110",0.436
"1111",0.4345
"1112",0.421
"1113",0.391
"1114",0.4585
"1115",0.374
"1116",0.392
"1117",0.4085
"1118",0.3965
"1119",0.4455
"1120",0.471
"1121",0.494
"1122",0.5225
"1123",0.5205
"1124",0.4265
"1125",0.376
"1126",0.3855
"1127",0.4825
"1128",0.504
"1129",0.5
"1130",0.4915
"1131",0.4785
"1132",0.477
"1133",0.542
"1134",0.4405
"1135",0.5265
"1136",0.569
"1137",0.5635
"1138",0.565
"1139",0.5575
"1140",0.5315
"1141",0.5265
"1142",0.527
"1143",0.5245
"1144",0.52
"1145",0.514
"1146",0.514
"1147",0.4915
"1148",0.4805
"1149",0.418
"1150",0.464
"1151",0.4175
"1152",0.517
"1153",0.593
"1154",0.5885
"1155",0.5845
"1156",0.5855
"1157",0.4845
"1158",0.485
"1159",0.4765
"1160",0.418
"1161",0.5185
"1162",0.5885
"1163",0.489
"1164",0.4895
"1165",0.49
"1166",0.486
"1167",0.4845
"1168",0.485
"1169",0.48
"1170",0.4845
"1171",0.486
"1172",0.496
"1173",0.468
"1174",0.493
"1175",0.503
"1176",0.4235
"1177",0.554
"1178",0.553
"1179",0.558
"1180",0.567
"1181",0.591
"1182",0.584
"1183",0.5845
"1184",0.588
"1185",0.5915
"1186",0.541
"1187",0.538
"1188",0.537
"1189",0.532
"1190",0.5275
"1191",0.513
"1192",0.59
"1193",0.6095
"1194",0.6085
"1195",0.632
"1196",0.631
"1197",0.6325
"1198",0.3245
"1199",0.4675
"1200",0.417
"1201",0.418
"1202",0.4155
"1203",0.419
"1204",0.4965
"1205",0.5745
"1206",0.4665
"1207",0.502
"1208",0.5145
"1209",0.5125
"1210",0.5365
"1211",0.499
"1212",0.481
"1213",0.481
"1214",0.4125
"1215",0.413
"1216",0.406
"1217",0.4855
"1218",0.492
"1219",0.492
"1220",0.4605
"1221",0.46
"1222",0.423
"1223",0.3655
"1224",0.4035
"1225",0.4075
"1226",0.4135
"1227",0.5585
"1228",0.5805
"1229",0.5805
"1230",0.5805
"1231",0.5795
"1232",0.569
"1233",0.5735
"1234",0.5735
"1235",0.569
"1236",0.5745
"1237",0.5755
"1238",0.5775
"1239",0.5795
"1240",0.5705
"1241",0.5755
"1242",0.5705
"1243",0.5665
"1244",0.572
"1245",0.576
"1246",0.58
"1247",0.5795
"1248",0.568
"1249",0.569
"1250",0.56
"1251",0.563
"1252",0.5655
"1253",0.5685
"1254",0.568
"1255",0.576
"1256",0.5765
"1257",0.579
"1258",0.577
"1259",0.576
"1260",0.564
"1261",0.5745
"1262",0.5745
"1263",0.4345
"1264",0.4215
"1265",0.415
"1266",0.4155
"1267",0.383
"1268",0.372
"1269",0.371
"1270",0.3725
"1271",0.3405
"1272",0.712
"1273",0.5595
"1274",0.5065
"1275",0.71
"1276",0.5485
"1277",0.413
"1278",0.41
"1279",0.4585
"1280",0.46
"1281",0.4945
"1282",0.4365
"1283",0.4025
"1284",0.406
"1285",0.5135
"1286",0.5185
"1287",0.5335
"1288",0.4655
"1289",0.5575
"1290",0.472
"1291",0.4765
"1292",0.488
"1293",0.4905
"1294",0.47
"1295",0.4765
"1296",0.4925
"1297",0.4955
"1298",0.5015
"1299",0.5005
"1300",0.503
"1301",0.494
"1302",0.4935
"1303",0.4765
"1304",0.501
"1305",0.5185
"1306",0.52
"1307",0.518
"1308",0.5165
"1309",0.51
"1310",0.51
"1311",0.5105
"1312",0.5125
"1313",0.506
"1314",0.5045
"1315",0.497
"1316",0.4955
"1317",0.498
"1318",0.492
"1319",0.4865
"1320",0.4895
"1321",0.4865
"1322",0.5055
"1323",0.4935
"1324",0.4695
"1325",0.4655
"1326",0.4695
"1327",0.471
"1328",0.4725
"1329",0.494
"1330",0.4935
"1331",0.4925
"1332",0.4845
"1333",0.485
"1334",0.487
"1335",0.4885
"1336",0.485
"1337",0.4875
"1338",0.4875
"1339",0.488
"1340",0.4875
"1341",0.487
"1342",0.4875
"1343",0.49
"1344",0.4875
"1345",0.491
"1346",0.5335
"1347",0.5325
"1348",0.542
"1349",0.555
"1350",0.516
"1351",0.5525
"1352",0.5535
"1353",0.5475
"1354",0.4895
"1355",0.651
"1356",0.589
"1357",0.545
"1358",0.57
"1359",0.5695
"1360",0.57
"1361",0.566
"1362",0.5565
"1363",0.555
"1364",0.5555
"1365",0.558
"1366",0.539
"1367",0.5185
"1368",0.5115
"1369",0.5115
"1370",0.534
"1371",0.5445
"1372",0.5285
"1373",0.523
"1374",0.5225
"1375",0.533
"1376",0.529
"1377",0.5285
"1378",0.5225
"1379",0.524
"1380",0.527
"1381",0.529
"1382",0.52
"1383",0.52
"1384",0.5135
"1385",0.5165
"1386",0.522
"1387",0.5265
"1388",0.534
"1389",0.5325
"1390",0.528
"1391",0.5225
"1392",0.523
"1393",0.523
"1394",0.536
"1395",0.5285
"1396",0.528
"1397",0.5215
"1398",0.5175
"1399",0.5485
"1400",0.5445
"1401",0.5495
"1402",0.5675
"1403",0.5735
"1404",0.5825
"1405",0.582
"1406",0.594
"1407",0.594
"1408",0.603
"1409",0.612
"1410",0.665
"1411",0.665
"1412",0.642
"1413",0.643
"1414",0.6365
"1415",0.634
"1416",0.632
"1417",0.479
"1418",0.478
"1419",0.4795
"1420",0.484
"1421",0.529
"1422",0.501
"1423",0.4755
"1424",0.4295
"1425",0.441
"1426",0.4405
"1427",0.4335
"1428",0.4345
"1429",0.4175
"1430",0.392
"1431",0.5315
"1432",0.4705
"1433",0.6815
"1434",0.6825
"1435",0.6815
"1436",0.6805
"1437",0.677
"1438",0.676
"1439",0.675
"1440",0.677
"1441",0.663
"1442",0.665
"1443",0.655
"1444",0.6555
"1445",0.555
"1446",0.557
"1447",0.5625
"1448",0.563
"1449",0.563
"1450",0.565
"1451",0.5645
"1452",0.564
"1453",0.5635
"1454",0.6035
"1455",0.602
"1456",0.608
"1457",0.6145
"1458",0.615
"1459",0.615
"1460",0.615
"1461",0.615
"1462",0.614
"1463",0.579
"1464",0.579
"1465",0.576
"1466",0.5695
"1467",0.5735
"1468",0.5705
"1469",0.5855
"1470",0.585
"1471",0.585
"1472",0.585
"1473",0.588
"1474",0.5915
"1475",0.5945
"1476",0.5945
"1477",0.597
"1478",0.6015
"1479",0.5995
"1480",0.5985
"1481",0.598
"1482",0.599
"1483",0.6005
"1484",0.6
"1485",0.5975
"1486",0.597
"1487",0.5975
"1488",0.5725
"1489",0.5715
"1490",0.5685
"1491",0.568
"1492",0.566
"1493",0.568
"1494",0.572
"1495",0.5825
"1496",0.5865
"1497",0.625
"1498",0.6105
"1499",0.493
"1500",0.5175
"1501",0.6785
"1502",0.6785
"1503",0.6025
"1504",0.615
"1505",0.616
"1506",0.516
"1507",0.5555
"1508",0.564
"1509",0.604
"1510",0.59
"1511",0.594
"1512",0.6095
"1513",0.6245
"1514",0.6275
"1515",0.6105
"1516",0.6095
"1517",0.5855
"1518",0.5735
"1519",0.571
"1520",0.5995
"1521",0.3785
"1522",0.386
"1523",0.377
"1524",0.359
"1525",0.3495
"1526",0.5855
"1527",0.5805
"1528",0.5375
"1529",0.543
"1530",0.5375
"1531",0.5315
"1532",0.5425
"1533",0.506
"1534",0.5255
"1535",0.5265
"1536",0.511
"1537",0.4545
"1538",0.4425
"1539",0.4405
"1540",0.4705
"1541",0.451
"1542",0.436
"1543",0.4855
"1544",0.4955
"1545",0.5165
"1546",0.5795
"1547",0.6045
"1548",0.5745
"1549",0.5745
"1550",0.5785
"1551",0.5655
"1552",0.534
"1553",0.5345
"1554",0.5505
"1555",0.5565
"1556",0.5305
"1557",0.5275
"1558",0.5275
"1559",0.5255
"1560",0.529
"1561",0.5175
"1562",0.515
"1563",0.513
"1564",0.5125
"1565",0.5155
"1566",0.505
"1567",0.5045
"1568",0.5275
"1569",0.526
"1570",0.5295
"1571",0.525
"1572",0.52
"1573",0.524
"1574",0.5165
"1575",0.511
"1576",0.5135
"1577",0.512
"1578",0.504
"1579",0.5065
"1580",0.506
"1581",0.5065
"1582",0.5025
"1583",0.457
"1584",0.6175
"1585",0.6195
"1586",0.616
"1587",0.617
"1588",0.615
"1589",0.5915
"1590",0.5915
"1591",0.593
"1592",0.5925
"1593",0.591
"1594",0.5905
"1595",0.5905
"1596",0.587
"1597",0.5845
"1598",0.5285
"1599",0.526
"1600",0.524
"1601",0.524
"1602",0.524
"1603",0.5205
"1604",0.516
"1605",0.5175
"1606",0.4785
"1607",0.4665
"1608",0.4665
"1609",0.4555
"1610",0.4505
"1611",0.45
"1612",0.451
"1613",0.45
"1614",0.439
"1615",0.5655
"1616",0.44
"1617",0.4005
"1618",0.4485
"1619",0.4595
"1620",0.511
"1621",0.5345
"1622",0.3615
"1623",0.3865
"1624",0.404
"1625",0.3505
"1626",0.5055
"1627",0.505
"1628",0.535
"1629",0.4595
"1630",0.3475
"1631",0.486
"1632",0.4895
"1633",0.48
"1634",0.4915
"1635",0.4325
"1636",0.4475
"1637",0.3575
"1638",0.3865
"1639",0.372
"1640",0.3485
"1641",0.3475
"1642",0.3495
"1643",0.3785
"1644",0.3785
"1645",0.419
"1646",0.425
"1647",0.4285
"1648",0.447
"1649",0.454
"1650",0.453
"1651",0.641
"1652",0.3625
"1653",0.3825
"1654",0.377
"1655",0.389
"1656",0.446
"1657",0.3215
"1658",0.3955
"1659",0.481
"1660",0.5145
"1661",0.5095
"1662",0.48
"1663",0.465
"1664",0.4695
"1665",0.4625
"1666",0.4575
"1667",0.4465
"1668",0.445
"1669",0.4465
"1670",0.445
"1671",0.4085
"1672",0.38
"1673",0.3485
"1674",0.415
"1675",0.405
"1676",0.3645
"1677",0.3655
"1678",0.3755
"1679",0.4475
"1680",0.329
"1681",0.3955
"1682",0.391
"1683",0.3725
"1684",0.335
"1685",0.419
"1686",0.4885
"1687",0.512
"1688",0.5025
"1689",0.4705
"1690",0.5615
"1691",0.495
"1692",0.5105
"1693",0.371
"1694",0.428
"1695",0.427
"1696",0.3745
"1697",0.377
"1698",0.378
"1699",0.378
"1700",0.3815
"1701",0.382
"1702",0.382
"1703",0.383
"1704",0.383
"1705",0.388
"1706",0.397
"1707",0.3945
"1708",0.4045
"1709",0.4055
"1710",0.4785
"1711",0.4825
"1712",0.4805
"1713",0.467
"1714",0.467
"1715",0.478
"1716",0.478
"1717",0.4605
"1718",0.4575
"1719",0.4575
"1720",0.4585
"1721",0.4615
"1722",0.463
"1723",0.462
"1724",0.4615
"1725",0.461
"1726",0.4615
"1727",0.465
"1728",0.4655
"1729",0.465
"1730",0.4665
"1731",0.4665
"1732",0.4665
"1733",0.468
"1734",0.455
"1735",0.457
"1736",0.456
"1737",0.4415
"1738",0.42
"1739",0.4205
"1740",0.4225
"1741",0.423
"1742",0.4305
"1743",0.432
"1744",0.431
"1745",0.4325
"1746",0.433
"1747",0.433
"1748",0.435
"1749",0.435
"1750",0.4375
"1751",0.4415
"1752",0.441
"1753",0.469
"1754",0.471
"1755",0.4845
"1756",0.4875
"1757",0.487
"1758",0.4875
"1759",0.4865
"1760",0.486
"1761",0.4835
"1762",0.4805
"1763",0.4795
