"","x"
"V161",409.5
"V162",409.5
"V163",410
"V164",410.25
"V165",410.5
"V166",431.25
"V167",441.5
"V168",440
"V169",441
"V170",441.25
"V171",441
"V172",445.75
"V173",446
"V174",444.5
"V175",443.75
"V176",446.5
"V177",380.75
"V178",433.75
"V179",435.75
"V180",433
"V181",434.25
"V182",419.5
"V183",420
"V184",420
"V185",420.75
"V186",420.75
"V187",420
"V188",424.25
"V189",422.5
"V190",423.75
"V191",378.25
"V192",396
"V193",393
"V194",401.5
"V195",406.75
"V196",423.5
"V197",399.75
"V198",395.25
"V199",398.25
"V200",403.25
"V201",384.25
"V202",418
"V203",381.5
"V204",400
"V205",394.5
"V206",399
"V207",383.75
"V208",384.25
"V209",416.5
"V210",387.5
"V211",408.5
"V212",415.25
"V213",404
"V214",404.25
"V215",404
"V216",398.25
"V217",394.25
"V218",387.75
"V219",380.75
"V220",387
"V221",401.25
"V222",404.5
"V223",406.5
"V224",455.75
"V225",458.75
"V226",457
"V227",458.25
"V228",455.75
"V229",385.25
"V230",378.5
"V231",382.75
"V232",382.25
"V233",381.25
"V234",390.25
"V235",388.25
"V236",379
"V237",385.75
"V238",392.25
"V239",397
"V240",395
"V241",387
"V242",442.25
"V243",376.25
"V244",367
"V245",369.5
"V246",393.75
"V247",399.5
"V248",380.75
"V249",389.25
"V250",394.5
"V251",378.5
"V252",401
"V253",388.25
"V254",397.25
"V255",395
"V256",438
"V257",428.25
"V258",428.25
"V259",406.25
"V260",405
"V261",404.5
"V262",404.25
"V263",404.25
"V264",413.25
"V265",389.25
"V266",388.25
"V267",416.75
"V268",414.5
"V269",414.75
"V270",414.25
"V271",413
"V272",400.75
"V273",401
"V274",400.75
"V275",400.5
"V276",400
"V277",399.5
"V278",416.5
"V279",376.25
"V280",393.75
"V281",404.5
"V282",401.5
"V283",402.75
"V284",406
"V285",454
"V286",435.5
"V287",411.5
"V288",408.5
"V289",407.5
"V290",422.5
"V291",413.25
"V292",378.75
"V293",374
"V294",382.5
"V295",417.5
"V296",414
"V297",442.75
"V298",390.5
"V299",391
"V300",425.25
"V301",422.5
"V302",422.5
"V303",422.25
"V304",421.75
"V305",418.25
"V306",423
"V307",423.75
"V308",427.5
"V309",427.5
"V310",428.75
"V311",422.5
"V312",419.5
"V313",387.25
"V314",414.75
"V315",419.25
"V316",409
"V317",408.5
"V318",410.25
"V319",411.25
"V320",411.5
"V321",410.75
"V322",409.75
"V323",402.75
"V324",373.5
"V325",385.75
"V326",362.5
"V327",360.25
"V328",428.75
"V329",437.25
"V330",439
"V331",371
"V332",379
"V333",409.5
"V334",411
"V335",412.5
"V336",426.75
"V337",417
"V338",416.5
"V339",424
"V340",423.5
"V341",414
"V342",416.75
"V343",399.5
"V344",384
"V345",390
"V346",388.5
"V347",392
"V348",392.75
"V349",393.25
"V350",395.25
"V351",402.25
"V352",345.25
"V353",378
"V354",383
"V355",393.5
"V356",379.25
"V357",432.25
"V358",382.25
"V359",401.75
"V360",390.25
"V361",372
"V362",377
"V363",397.25
"V364",411.75
"V365",343.75
"V366",392.25
"V367",392.75
"V368",359.75
"V369",364.25
"V370",364.75
"V371",362.75
"V372",362.75
"V373",361.5
"V374",369.5
"V375",364.5
"V376",362.25
"V377",359.5
"V378",365.25
"V379",428
"V380",456.75
"V381",437.5
"V382",415
"V383",434.75
"V384",389.5
"V385",387.5
"V386",420.25
"V387",386.75
"V388",475.5
"V389",430.5
"V390",403.25
"V391",388.75
"V392",385.25
"V393",435
"V394",416.5
"V395",413
"V396",380.5
"V397",414.75
"V398",370.5
"V399",367.75
"V400",374
"V401",408.5
"V402",420.75
"V403",432
"V404",440.5
"V405",406.25
"V406",395.25
"V407",384
"V408",427
"V409",384.25
"V410",397
"V411",428.75
"V412",387
"V413",412
"V414",428.5
"V415",420.5
"V416",412
"V417",409.75
"V418",437.25
"V419",436.25
"V420",409.5
"V421",427.5
"V422",413.75
"V423",386.75
"V424",392.25
"V425",407
"V426",406.5
"V427",420.25
"V428",412
"V429",435.75
"V430",414
"V431",383.25
"V432",424.5
"V433",425.5
"V434",420.25
"V435",393
"V436",386
"V437",368.25
"V438",418
"V439",412
"V440",380
"V441",384.75
"V442",425.75
"V443",458.5
"V444",402.5
"V445",367
"V446",390.25
"V447",388.5
"V448",385
"V449",375.75
"V450",386.5
"V451",394
"V452",446.25
"V453",404.75
"V454",406.25
"V455",432
"V456",434.5
"V457",425
"V458",394.75
"V459",396.5
"V460",399
"V461",397
"V462",390.75
"V463",422.75
"V464",386.25
"V465",386.5
"V466",385
"V467",380.5
"V468",383.5
"V469",385.75
"V470",385
"V471",385.25
"V472",386
"V473",387.25
"V474",385.75
"V475",392.25
"V476",392.25
"V477",391
"V478",376
"V479",374
"V480",373
"V481",373
"V482",359.25
"V483",359.5
"V484",358.5
"V485",363
"V486",375.5
"V487",373.5
"V488",373
"V489",374.5
"V490",374.5
"V491",374.75
"V492",376.75
"V493",378
"V494",378.75
"V495",378.75
"V496",380.5
"V497",380.25
"V498",387.5
"V499",386
"V500",384.25
"V501",382.5
"V502",381.5
"V503",378.75
"V504",377.5
"V505",377.25
"V506",378
"V507",379.75
"V508",377.75
"V509",380
"V510",394
"V511",394
"V512",388.5
"V513",387.5
"V514",397.5
"V515",401.5
"V516",381.5
"V517",376.75
"V518",372
"V519",375.5
"V520",375.25
"V521",393.25
"V522",398
"V523",412.25
"V524",414.5
"V525",384.75
"V526",404.25
"V527",392
"V528",379.5
"V529",384.5
"V530",410.75
"V531",389.5
"V532",388.25
"V533",383
"V534",406.25
"V535",349.25
"V536",372.25
"V537",383
"V538",405.25
"V539",431.25
"V540",417.75
"V541",415.75
"V542",428.5
"V543",428.25
"V544",429.5
"V545",430
"V546",413.25
"V547",413.5
"V548",364.25
"V549",357.75
"V550",358.75
"V551",373
"V552",371.5
"V553",380
"V554",382.75
"V555",396
"V556",394
"V557",397
"V558",391.75
"V559",383.25
"V560",374
"V561",374
"V562",372
"V563",373
"V564",377.25
"V565",375.5
"V566",391
"V567",406
"V568",408.75
"V569",409
"V570",404.75
"V571",372
"V572",381.5
"V573",375.25
"V574",372.75
"V575",374.75
"V576",375
"V577",378
"V578",368.5
"V579",364.5
"V580",367
"V581",367
"V582",367
"V583",367.25
"V584",380.5
"V585",380.5
"V586",382.5
"V587",384
"V588",384
"V589",384.75
"V590",379.75
"V591",380
"V592",393
"V593",394.25
"V594",399.25
"V595",404.5
"V596",410.25
"V597",427.75
"V598",422.75
"V599",425.5
"V600",421.75
"V601",416
"V602",397.25
"V603",394
"V604",396.5
"V605",382
"V606",402.5
"V607",428.75
"V608",397.25
"V609",399
"V610",401.75
"V611",390
"V612",386.75
"V613",390
"V614",385
"V615",420
"V616",409
"V617",397.75
"V618",393
"V619",428.5
"V620",392.25
"V621",440.25
"V622",423.5
"V623",395.5
"V624",391.75
"V625",445
"V626",439
"V627",436.25
"V628",417
"V629",416.75
"V630",392.5
"V631",390
"V632",389
"V633",386
"V634",420.5
"V635",431.5
"V636",432
"V637",431.5
"V638",389
"V639",389.5
"V640",389.5
"V641",387.25
"V642",385.25
"V643",386
"V644",397.25
"V645",425.75
"V646",385.5
"V647",379.75
"V648",387.25
"V649",422
"V650",407.75
"V651",382.25
"V652",377.5
"V653",397.75
"V654",401.5
"V655",398.75
"V656",397.75
"V657",380.75
"V658",374
"V659",373.25
"V660",403.25
"V661",436.5
"V662",436.75
"V663",433.5
"V664",426.75
"V665",437.5
"V666",437.5
"V667",447.5
"V668",444.5
"V669",444.5
"V670",415.5
"V671",420.75
"V672",429
"V673",425
"V674",427.75
"V675",442.25
"V676",442.5
"V677",446.5
"V678",428
"V679",446.5
"V680",398.25
"V681",415.25
"V682",425.25
"V683",388.5
"V684",387.75
"V685",404.75
"V686",428
"V687",423
"V688",498.5
"V689",437.5
"V690",426.75
"V691",410.25
"V692",406.25
"V693",416
"V694",428.75
"V695",424.25
"V696",425
"V697",431
"V698",425.75
"V699",426.75
"V700",423
"V701",419
"V702",431.75
"V703",432.25
"V704",434.5
"V705",434.25
"V706",424
"V707",426.5
"V708",387.5
"V709",411.75
"V710",419.25
"V711",421
"V712",410.25
"V713",413.25
"V714",421
"V715",404
"V716",403.25
"V717",415.75
"V718",433
"V719",412.75
"V720",446.25
"V721",412.25
"V722",392.5
"V723",421.5
"V724",428.75
"V725",433
"V726",431.5
"V727",428.25
"V728",433.25
"V729",435.5
"V730",434
"V731",437.75
"V732",438.75
"V733",443
"V734",433
"V735",429.75
"V736",438.5
"V737",446
"V738",418
"V739",410.75
"V740",439
"V741",488
"V742",445
"V743",445
"V744",455.5
"V745",485.5
"V746",489.25
"V747",492
"V748",497.25
"V749",376
"V750",452
"V751",434.25
"V752",407.75
"V753",415.25
"V754",409.75
"V755",412.25
"V756",410.5
"V757",410.25
"V758",411.5
"V759",426.5
"V760",426.75
"V761",404.5
"V762",413.75
"V763",472
"V764",472.5
"V765",469.5
"V766",450.25
"V767",452
"V768",395
"V769",395.75
"V770",395.5
"V771",407.25
"V772",407.5
"V773",407
"V774",408
"V775",407.75
"V776",407.5
"V777",409
"V778",410
"V779",410
"V780",409.75
"V781",410.5
"V782",387
"V783",388
"V784",389.75
"V785",384.5
"V786",403.25
"V787",406.75
"V788",406
"V789",410.25
"V790",412.25
"V791",412.5
"V792",413.75
"V793",412.75
"V794",389
"V795",388.5
"V796",447.25
"V797",392.25
"V798",398.25
"V799",401.5
"V800",440.5
"V801",433.75
"V802",436
"V803",436
"V804",421
"V805",416
"V806",421.5
"V807",401
"V808",399.75
"V809",397.75
"V810",369.25
"V811",369
"V812",368.25
"V813",368.75
"V814",366.5
"V815",438
"V816",441.5
"V817",420.75
"V818",424.25
"V819",422.75
"V820",417
"V821",420.25
"V822",420
"V823",423.5
"V824",425.25
"V825",426.25
"V826",421
"V827",402.5
"V828",388.75
"V829",376.5
"V830",376
"V831",532
"V832",520.75
"V833",411.5
"V834",411.25
"V835",412
"V836",406.5
"V837",407
"V838",404.5
"V839",405.75
"V840",394.5
"V841",396.25
"V842",398
"V843",397.75
"V844",397
"V845",399.75
"V846",404
"V847",407.5
"V848",408.75
"V849",409.5
"V850",419.5
"V851",419.75
"V852",420
"V853",420
"V854",424
"V855",423.25
"V856",397.5
"V857",398.25
"V858",397
"V859",453.75
"V860",448.75
"V861",401.25
"V862",405.75
"V863",401.75
"V864",392
"V865",387.5
"V866",393.75
"V867",396.25
"V868",397.25
"V869",398.5
"V870",456.25
"V871",456.5
"V872",456.5
"V873",450
"V874",451.75
"V875",433.5
"V876",432.5
"V877",436.5
"V878",431.5
"V879",403.75
"V880",404.5
"V881",406.75
"V882",382.75
"V883",385.5
"V884",384.75
"V885",385
"V886",385.75
"V887",384.25
"V888",384.5
"V889",383.25
"V890",407
"V891",408
"V892",422.5
"V893",416.5
"V894",393.5
"V895",381.5
"V896",441.75
"V897",440.25
"V898",436
"V899",388.25
"V900",388.5
"V901",390
"V902",412.25
"V903",406.75
"V904",407.25
"V905",409
"V906",411.75
"V907",409.5
"V908",401.75
"V909",402
"V910",404
"V911",401.5
"V912",403.5
"V913",399.75
"V914",395.5
"V915",389.25
"V916",420.75
"V917",419.75
"V918",414.5
"V919",349.75
"V920",425.75
"V921",427.5
"V922",426.25
"V923",425.75
"V924",427
"V925",402.25
"V926",404.75
"V927",405.5
"V928",413
"V929",417.25
"V930",395.25
"V931",394.25
"V932",395.25
"V933",396.75
"V934",395.25
"V935",398
"V936",426.75
"V937",429.25
"V938",432.75
"V939",430.5
"V940",422
"V941",387.75
"V942",387.75
"V943",386.5
"V944",395.5
"V945",398.25
"V946",401.5
"V947",402
"V948",397
"V949",394
"V950",412.25
"V951",411
"V952",409.25
"V953",409.25
"V954",408.75
"V955",409.75
"V956",408.75
"V957",408.75
"V958",406.75
"V959",406
"V960",420.75
"V961",419
"V962",421.25
"V963",422.25
"V964",418.5
"V965",400
"V966",399.75
"V967",399
"V968",397.75
"V969",412.5
"V970",412
"V971",392.25
"V972",424.25
"V973",403
"V974",408
"V975",389.75
"V976",400
"V977",433
"V978",429.75
"V979",435.5
"V980",411.75
"V981",432.75
"V982",415.5
"V983",398.25
"V984",431.75
"V985",431.75
"V986",440.5
"V987",432.25
"V988",432.5
"V989",436.25
"V990",433
"V991",431.75
"V992",433.75
"V993",433.75
"V994",434.5
"V995",435
"V996",445.5
"V997",425
"V998",412.5
"V999",412.25
"V1000",419.75
"V1001",445.5
"V1002",442.5
"V1003",417.5
"V1004",417.5
"V1005",399
"V1006",396.75
"V1007",390.5
"V1008",385.25
"V1009",388.75
"V1010",387.75
"V1011",397.75
"V1012",394.25
"V1013",394.5
"V1014",426.25
"V1015",417
"V1016",405.75
"V1017",409.75
"V1018",432.75
"V1019",411.5
"V1020",404.75
"V1021",407.75
"V1022",409
"V1023",409.75
"V1024",434
"V1025",432.25
"V1026",429.5
"V1027",426.75
"V1028",434.25
"V1029",431.5
"V1030",407
"V1031",406.5
"V1032",405.25
"V1033",394
"V1034",402.75
"V1035",403.25
"V1036",451.5
"V1037",448
"V1038",445.75
"V1039",410
"V1040",409.25
"V1041",408.75
"V1042",410.5
"V1043",412.5
"V1044",429.5
"V1045",436.5
"V1046",433.25
"V1047",430.75
"V1048",434.75
"V1049",423.5
"V1050",421.5
"V1051",424.25
"V1052",423.25
"V1053",426.5
"V1054",441.5
"V1055",438.75
"V1056",465
"V1057",442.5
"V1058",440
"V1059",439
"V1060",436.75
"V1061",424
"V1062",464.75
"V1063",466.75
"V1064",434.75
"V1065",436.25
"V1066",394.75
"V1067",412.25
"V1068",497.25
"V1069",377.5
"V1070",402.5
"V1071",444.75
"V1072",440.75
"V1073",438
"V1074",425
"V1075",413.25
"V1076",413.75
"V1077",473
"V1078",404.25
"V1079",403.5
"V1080",415
"V1081",453.75
"V1082",390
"V1083",362.5
"V1084",408.25
"V1085",400.75
"V1086",409.5
"V1087",406.75
"V1088",408
"V1089",408
"V1090",382.75
"V1091",434.25
"V1092",422
"V1093",393
"V1094",403
"V1095",423
"V1096",419.75
"V1097",426.5
"V1098",393
"V1099",401.75
"V1100",400
"V1101",394.5
"V1102",405.5
"V1103",431.5
"V1104",437.75
"V1105",415.5
"V1106",421.25
"V1107",436
"V1108",437.25
"V1109",405.5
"V1110",396.25
"V1111",421.25
"V1112",409
"V1113",429
"V1114",384.75
"V1115",403.5
"V1116",407.5
"V1117",458.5
"V1118",460.75
"V1119",410.25
"V1120",400
"V1121",414.5
"V1122",399.25
"V1123",399
"V1124",356.25
"V1125",403.75
"V1126",399
"V1127",365
"V1128",374.5
"V1129",373
"V1130",373.75
"V1131",377.25
"V1132",377
"V1133",403.25
"V1134",370.25
"V1135",385.25
"V1136",371
"V1137",378.75
"V1138",376.75
"V1139",377.25
"V1140",385.5
"V1141",389.75
"V1142",389.5
"V1143",392.25
"V1144",396
"V1145",394
"V1146",394.75
"V1147",402.25
"V1148",408.75
"V1149",463
"V1150",396.75
"V1151",422.75
"V1152",428.5
"V1153",425.5
"V1154",440
"V1155",439
"V1156",447.5
"V1157",399.25
"V1158",399.25
"V1159",396.5
"V1160",430.75
"V1161",391.75
"V1162",391.5
"V1163",442.5
"V1164",449.25
"V1165",453.5
"V1166",456.5
"V1167",458.5
"V1168",459.75
"V1169",461.25
"V1170",458.5
"V1171",454
"V1172",449.75
"V1173",440.75
"V1174",418.75
"V1175",421.75
"V1176",420
"V1177",440.25
"V1178",441.25
"V1179",404.25
"V1180",395
"V1181",378.5
"V1182",376.75
"V1183",382.5
"V1184",376.25
"V1185",381.25
"V1186",402.5
"V1187",399.5
"V1188",396.5
"V1189",423
"V1190",427.25
"V1191",407
"V1192",429
"V1193",407.5
"V1194",413
"V1195",405.75
"V1196",405.5
"V1197",405.5
"V1198",408
"V1199",382.75
"V1200",414
"V1201",469.75
"V1202",469.25
"V1203",423.75
"V1204",399
"V1205",410
"V1206",396.5
"V1207",387.25
"V1208",371
"V1209",373.75
"V1210",392.25
"V1211",403.75
"V1212",404.5
"V1213",413.25
"V1214",442.75
"V1215",441.75
"V1216",443.25
"V1217",474.25
"V1218",474.25
"V1219",466.5
"V1220",475.25
"V1221",474.25
"V1222",441
"V1223",405.75
"V1224",395.5
"V1225",414.75
"V1226",412.75
"V1227",452.25
"V1228",389.5
"V1229",391.5
"V1230",385
"V1231",387.75
"V1232",388
"V1233",385.25
"V1234",386.5
"V1235",389.25
"V1236",371.75
"V1237",386
"V1238",386.5
"V1239",378.25
"V1240",380.25
"V1241",383
"V1242",383.5
"V1243",379.5
"V1244",377.5
"V1245",383.25
"V1246",386
"V1247",390.25
"V1248",378.5
"V1249",379.5
"V1250",376
"V1251",386
"V1252",379.75
"V1253",379.5
"V1254",380
"V1255",382
"V1256",388.5
"V1257",392.5
"V1258",383.25
"V1259",383.25
"V1260",377.5
"V1261",373
"V1262",376
"V1263",461.75
"V1264",459.75
"V1265",460.75
"V1266",461
"V1267",476.75
"V1268",475.75
"V1269",477.25
"V1270",476.25
"V1271",483
"V1272",441.75
"V1273",433.25
"V1274",413.75
"V1275",408.5
"V1276",448.75
"V1277",408.25
"V1278",411.75
"V1279",431
"V1280",425.5
"V1281",408
"V1282",447.75
"V1283",427.75
"V1284",427.5
"V1285",439.75
"V1286",440.5
"V1287",414
"V1288",429.25
"V1289",412.25
"V1290",457.25
"V1291",465.25
"V1292",436.25
"V1293",432.25
"V1294",397.5
"V1295",397
"V1296",366
"V1297",364
"V1298",364.5
"V1299",363
"V1300",401.25
"V1301",400.5
"V1302",399.5
"V1303",400.5
"V1304",438.75
"V1305",430.5
"V1306",428.5
"V1307",428.5
"V1308",430.75
"V1309",429
"V1310",427.75
"V1311",426.75
"V1312",421
"V1313",396
"V1314",398.5
"V1315",414.5
"V1316",407.5
"V1317",415.5
"V1318",386.75
"V1319",382.5
"V1320",376.5
"V1321",377.25
"V1322",364.25
"V1323",413.5
"V1324",408
"V1325",408
"V1326",407.5
"V1327",406.5
"V1328",406.5
"V1329",396
"V1330",394.25
"V1331",394.25
"V1332",395.5
"V1333",396.5
"V1334",386.25
"V1335",384.5
"V1336",385.5
"V1337",388.5
"V1338",385.25
"V1339",382.75
"V1340",383.5
"V1341",383
"V1342",382
"V1343",382.25
"V1344",389.5
"V1345",395.75
"V1346",379.25
"V1347",381.5
"V1348",450.75
"V1349",400.5
"V1350",427
"V1351",388
"V1352",388
"V1353",394.25
"V1354",403.25
"V1355",415.5
"V1356",455.5
"V1357",436.5
"V1358",385.25
"V1359",377.25
"V1360",376.25
"V1361",373.75
"V1362",389.5
"V1363",390.75
"V1364",390.5
"V1365",390.25
"V1366",380.75
"V1367",370.5
"V1368",368.75
"V1369",369.5
"V1370",380.75
"V1371",380
"V1372",410.25
"V1373",411.5
"V1374",412.75
"V1375",397.25
"V1376",410
"V1377",410
"V1378",415.5
"V1379",407.25
"V1380",408.5
"V1381",371.5
"V1382",378.75
"V1383",379.5
"V1384",454.75
"V1385",441.25
"V1386",432
"V1387",428.25
"V1388",435.25
"V1389",436
"V1390",434.5
"V1391",444.5
"V1392",445.5
"V1393",431.75
"V1394",425
"V1395",426.75
"V1396",426.5
"V1397",428.25
"V1398",421
"V1399",370.5
"V1400",372
"V1401",367
"V1402",386.25
"V1403",387
"V1404",390
"V1405",401.5
"V1406",395.25
"V1407",390.25
"V1408",390.25
"V1409",385.5
"V1410",382
"V1411",383.25
"V1412",387.75
"V1413",387.5
"V1414",389.25
"V1415",398.5
"V1416",398
"V1417",395.75
"V1418",397.75
"V1419",397.5
"V1420",394
"V1421",435.25
"V1422",427
"V1423",510.25
"V1424",408.5
"V1425",405
"V1426",450.75
"V1427",462.25
"V1428",458.5
"V1429",416.25
"V1430",399.5
"V1431",394
"V1432",415.25
"V1433",438.5
"V1434",437
"V1435",432
"V1436",430.75
"V1437",426.5
"V1438",425.25
"V1439",425.75
"V1440",425.75
"V1441",419.5
"V1442",417.25
"V1443",408
"V1444",407.25
"V1445",435.5
"V1446",435.5
"V1447",431.75
"V1448",433.5
"V1449",431.5
"V1450",429.5
"V1451",409
"V1452",407.75
"V1453",408.5
"V1454",389.75
"V1455",393.5
"V1456",397.5
"V1457",388.75
"V1458",389.75
"V1459",395
"V1460",398.25
"V1461",397.75
"V1462",396.25
"V1463",412.5
"V1464",412
"V1465",411.5
"V1466",411
"V1467",411.5
"V1468",417.5
"V1469",412.75
"V1470",412.25
"V1471",410
"V1472",414
"V1473",419.25
"V1474",419.75
"V1475",415.75
"V1476",415.75
"V1477",413.5
"V1478",413
"V1479",409.25
"V1480",408.75
"V1481",404
"V1482",401.5
"V1483",400.25
"V1484",400.25
"V1485",399.25
"V1486",406.75
"V1487",407
"V1488",397.25
"V1489",397
"V1490",392.75
"V1491",393.25
"V1492",396.75
"V1493",396.25
"V1494",389.5
"V1495",381.5
"V1496",382.25
"V1497",448.75
"V1498",390
"V1499",384.25
"V1500",388.5
"V1501",391.75
"V1502",390.75
"V1503",383.25
"V1504",416.25
"V1505",396.25
"V1506",464.5
"V1507",384
"V1508",387.75
"V1509",419.75
"V1510",450.5
"V1511",400.5
"V1512",359
"V1513",362
"V1514",361.5
"V1515",361.25
"V1516",358
"V1517",362.25
"V1518",367
"V1519",381.75
"V1520",416
"V1521",408.75
"V1522",423
"V1523",422.25
"V1524",424.5
"V1525",425.5
"V1526",377
"V1527",367.25
"V1528",395
"V1529",397.25
"V1530",379.5
"V1531",400.75
"V1532",410.5
"V1533",408.75
"V1534",412.25
"V1535",415.75
"V1536",463.25
"V1537",399.5
"V1538",426
"V1539",430.25
"V1540",409.5
"V1541",405.25
"V1542",415.25
"V1543",400.75
"V1544",434.5
"V1545",388.5
"V1546",353
"V1547",429.75
"V1548",475.5
"V1549",469.75
"V1550",465.75
"V1551",471
"V1552",462
"V1553",461.75
"V1554",412.25
"V1555",405.75
"V1556",429.75
"V1557",420.75
"V1558",420
"V1559",418.75
"V1560",418.25
"V1561",422
"V1562",422.75
"V1563",424.25
"V1564",415.25
"V1565",410
"V1566",404.75
"V1567",401.25
"V1568",418
"V1569",418
"V1570",415.5
"V1571",415.25
"V1572",419.75
"V1573",410.25
"V1574",410.5
"V1575",397.5
"V1576",395.25
"V1577",393.25
"V1578",401.25
"V1579",402.5
"V1580",402.25
"V1581",402.5
"V1582",404.75
"V1583",421.75
"V1584",416.25
"V1585",417
"V1586",423.5
"V1587",418
"V1588",419.25
"V1589",402.75
"V1590",403
"V1591",400.75
"V1592",401
"V1593",400.75
"V1594",400.5
"V1595",399.5
"V1596",397.75
"V1597",396.75
"V1598",449.5
"V1599",449
"V1600",449.5
"V1601",449
"V1602",448.75
"V1603",436.5
"V1604",433.25
"V1605",431
"V1606",426.25
"V1607",432.75
"V1608",431.75
"V1609",435.75
"V1610",438
"V1611",438
"V1612",438.5
"V1613",437.75
"V1614",439.75
"V1615",402.5
"V1616",426.5
"V1617",438
"V1618",473.5
"V1619",467.75
"V1620",379.75
"V1621",400.75
"V1622",406.5
"V1623",395.75
"V1624",455.5
"V1625",431
"V1626",420.25
"V1627",419
"V1628",387.5
"V1629",403.5
"V1630",443
"V1631",456
"V1632",443.25
"V1633",398.25
"V1634",425.5
"V1635",443.5
"V1636",399
"V1637",443.25
"V1638",388.25
"V1639",407.75
"V1640",421.5
"V1641",428.75
"V1642",426.5
"V1643",415.25
"V1644",411
"V1645",387
"V1646",381.5
"V1647",395.5
"V1648",405.5
"V1649",413
"V1650",412.75
"V1651",409.25
"V1652",412
"V1653",414.75
"V1654",396
"V1655",435.25
"V1656",388.75
"V1657",415.75
"V1658",442.75
"V1659",439.5
"V1660",446.25
"V1661",444.75
"V1662",449
"V1663",442.25
"V1664",433.5
"V1665",423
"V1666",406.75
"V1667",408.5
"V1668",406.75
"V1669",402.25
"V1670",402.25
"V1671",417.75
"V1672",406
"V1673",440.75
"V1674",390.25
"V1675",408
"V1676",433.75
"V1677",445
"V1678",418.5
"V1679",408.5
"V1680",409.25
"V1681",395.25
"V1682",420.5
"V1683",419.5
"V1684",448
"V1685",409.75
"V1686",378.5
"V1687",388
"V1688",385
"V1689",384.25
"V1690",401
"V1691",415.75
"V1692",435.75
"V1693",442.5
"V1694",394.25
"V1695",399
"V1696",424.5
"V1697",424
"V1698",423.25
"V1699",424.25
"V1700",421.75
"V1701",420.25
"V1702",420
"V1703",419.25
"V1704",420.25
"V1705",417.5
"V1706",420.25
"V1707",421
"V1708",421.75
"V1709",421
"V1710",420
"V1711",419.25
"V1712",418.75
"V1713",422.5
"V1714",422.25
"V1715",416
"V1716",417.75
"V1717",413.25
"V1718",413
"V1719",410.5
"V1720",407.5
"V1721",408.25
"V1722",408.25
"V1723",409.5
"V1724",410.5
"V1725",410.25
"V1726",405.5
"V1727",404.75
"V1728",404.75
"V1729",401
"V1730",398.25
"V1731",393.5
"V1732",393
"V1733",394.25
"V1734",449.5
"V1735",449.5
"V1736",450
"V1737",452.5
"V1738",410.75
"V1739",409.25
"V1740",411
"V1741",411.25
"V1742",414.25
"V1743",408
"V1744",410.5
"V1745",413.75
"V1746",412.75
"V1747",412.75
"V1748",414.25
"V1749",414
"V1750",419.5
"V1751",421.75
"V1752",422.25
"V1753",403
"V1754",402
"V1755",387.5
"V1756",382.75
"V1757",382.75
"V1758",383
"V1759",381.75
"V1760",383.25
"V1761",383.5
"V1762",381.25
"V1763",382
"V1764",389.5
"V1765",389.5
